,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEAR,WEEK,TOPIC,,YEAR,WEEK,TOPIC,,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,,,,,,
Year 12- Further maths,WK1_DAY1,Surds and Indices,,Year 12- Further maths,WK1_DAY1,Unit vectors,,Year 12- Further maths,WK1_DAY1,Differentiation from 1st principle,Year 12- Further maths,WK1_DAY1,Binomial distribution ,Year 12- Further maths,WK1_DAY1,Reciprocal Trignomterics,Year 12- Further maths,WK1_DAY1,Integral functions,Year 12- Further maths,WK1_DAY1,Converge and diverge functions ,,,,,,
,WK1_DAY2,Rationalising denominators,,,WK1_DAY2,Equal and parallel vectors,,,WK1_DAY2,Two real Solutions,,WK1_DAY2,Binomial distribution  2,,WK1_DAY2,Equation through straight line ,,WK1_DAY2,Integral functions,,WK1_DAY2,Binomial theorem ,,,,,,
,WK2_DAY1,Completing the square,,,WK2_DAY1,Vertices of triangle,,,WK2_DAY1,Vector based question ,,WK2_DAY1,probability ,,WK2_DAY1,Arithmetic Sequence,,WK2_DAY1,Integral functions,,WK2_DAY1,Edexcel pure paper ,,,,,,
,WK2_DAY2,Transforming the Graphs,,,WK2_DAY2,Theorem of calculus,,,WK2_DAY2,Data based question solving,,WK2_DAY2,probability 2,,WK2_DAY2,Integration ,,WK2_DAY2,Graph Integral ,,WK2_DAY2,Edexcel pure paper ,,,,,,
,WK3_DAY1,Transforming the Graphs,,,WK3_DAY1,NA,,,WK3_DAY1,AS Level PYQ practice,,WK3_DAY1,Probability 3,,WK3_DAY1,Chain rule ,,WK3_DAY1,Differential equations,,WK3_DAY1,Edexcel pure paper ,,,,,,
,WK3_DAY2,Simultaneous equation ,,,WK3_DAY2,Equation of circle and logarithms,,,WK3_DAY2,NA,,WK3_DAY2,Random distribution ,,WK3_DAY2,Quotient rule ,,WK3_DAY2,NA,,WK3_DAY2,Venn diagram interpreatation,,,,,,
,WK4_DAY1,Simultaneous equation ,,,WK4_DAY1,Logarithm,,,WK4_DAY1,Coorelation,,WK4_DAY1,Solving trigonomtery ,,WK4_DAY1,Properties of curves,,WK4_DAY1,Differential equations 2,,WK4_DAY1,Venn diagram interpreatation 2,,,,,,
,WK4_DAY2,Trigonometric equations,,,WK4_DAY2,Measure of central tendency,,,WK4_DAY2,Probability and venn diagram,,WK4_DAY2,Double angle identities,,WK4_DAY2,Derivative ,,WK4_DAY2,Numerical solutions of equations,,WK4_DAY2,NA,,,,,,
,WK5_DAY1,Pending,,,WK5_DAY1,NA,,,WK5_DAY1,,,WK5_DAY1,NA,,WK5_DAY1,NA,,WK5_DAY1,NA,,WK5_DAY1,NA,,,,,,
,WK5_DAY2,Pending,,,WK5_DAY2,NA,,,WK5_DAY2,,,WK5_DAY2,NA,,WK5_DAY2,NA,,WK5_DAY2,NA,,WK5_DAY2,NA,,,,,,
,September,,,,October,,,,NOVEMBER,,,DECEMBER,,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC
YEAR,WEEK,TOPIC,,YEAR,WEEK,TOPIC,,YEAR,WEEK,TOPIC,YEAR,WEEK,TOPIC,Year 12 -Mechanic maths,WK1_DAY1,NA,Year 12 -Mechanic maths,WK1_DAY1,"Displacement , velocity time graph",Year 12 -Mechanic maths,WK1_DAY1,,Year 12 -Mechanic maths,WK1_DAY1,,Year 12 -Mechanic maths,WK1_DAY1,Projectiles Question 
